"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","129,819.92","131,149.77","131,474.06","127,365.99","1.46B","-0.47%"
"Apr 29, 2020","130,429.78","128,924.15","130,586.41","128,526.05","1.34B","2.02%"
"Apr 28, 2020","127,853.19","128,702.36","129,308.14","127,612.60","1.38B","-0.15%"
"Apr 27, 2020","128,043.97","126,858.53","128,334.22","126,844.65","1.16B","2.37%"
"Apr 24, 2020","125,073.99","124,999.82","125,916.68","124,495.50","1.16B","0.53%"
"Apr 22, 2020","124,415.64","123,787.27","125,103.27","123,447.05","1.08B","0.98%"
"Apr 21, 2020","123,212.66","123,626.71","123,666.81","122,273.91","1.09B","-0.90%"
"Apr 20, 2020","124,330.90","123,285.77","124,363.91","122,948.17","1.13B","1.57%"
"Apr 17, 2020","122,411.36","122,493.02","123,170.09","121,922.80","1.29B","1.48%"
"Apr 16, 2020","120,625.40","120,152.80","121,060.60","118,792.20","1.28B","1.20%"
"Apr 15, 2020","119,192.66","122,048.77","122,091.38","116,498.83","1.56B","-1.99%"
"Apr 14, 2020","121,617.31","120,057.46","121,762.00","120,057.46","1.41B","2.45%"
"Apr 13, 2020","118,712.27","118,084.86","119,707.04","117,407.72","1.07B","-0.09%"
"Apr 10, 2020","118,815.69","119,307.25","119,476.50","117,842.63","1.00B","0.04%"
"Apr 09, 2020","118,767.84","118,020.47","119,009.91","117,180.19","989.32M","1.84%"
"Apr 08, 2020","116,618.52","116,387.58","117,164.65","114,774.51","843.64M","0.43%"
"Apr 07, 2020","116,120.98","116,589.65","119,480.84","115,707.05","1.33B","0.76%"
"Apr 06, 2020","115,245.16","113,008.59","115,410.52","112,785.98","1.12B","3.33%"
"Apr 03, 2020","111,531.18","110,905.71","112,016.52","110,081.68","1.09B","0.74%"
"Apr 02, 2020","110,714.73","110,250.39","111,224.32","108,483.37","1.56B","1.31%"
"Apr 01, 2020","109,278.23","106,953.80","111,449.78","106,489.47","1.40B","0.98%"
"Mar 31, 2020","108,215.52","107,439.28","108,645.79","106,868.66","900.59M","2.13%"
"Mar 30, 2020","105,957.60","105,405.46","106,332.16","103,559.82","772.15M","0.48%"
"Mar 27, 2020","105,449.49","109,437.82","109,967.87","105,449.49","1.06B","-3.11%"
"Mar 26, 2020","108,833.21","106,480.18","109,231.12","105,555.12","1.09B","2.18%"
"Mar 25, 2020","106,513.18","107,559.83","109,339.35","104,579.59","1.12B","0.69%"
"Mar 24, 2020","105,782.76","103,080.46","106,090.70","102,661.61","772.93M","6.48%"
"Mar 23, 2020","99,348.13","97,715.33","100,745.94","96,566.72","661.50M","-1.74%"
"Mar 20, 2020","101,108.11","101,357.95","102,073.44","99,066.46","601.23M","2.20%"
"Mar 19, 2020","98,935.45","97,771.12","99,379.92","97,014.41","627.32M","0.10%"
"Mar 18, 2020","98,836.90","97,956.20","102,015.89","97,309.61","602.29M","-1.54%"
"Mar 17, 2020","100,385.39","104,590.04","105,025.46","95,329.84","821.54M","-3.91%"
"Mar 16, 2020","104,470.95","110,688.61","110,688.61","103,575.53","564.38M","-8.34%"
"Mar 13, 2020","113,976.39","111,292.40","118,162.61","109,295.49","1.05B","1.72%"
"Mar 12, 2020","112,053.46","117,726.86","117,726.86","111,341.59","938.63M","-7.33%"
"Mar 11, 2020","120,919.86","122,575.86","124,219.24","117,936.50","1.06B","-2.04%"
"Mar 10, 2020","123,436.29","129,956.56","131,091.89","123,133.68","851.16M","-2.87%"
"Mar 09, 2020","127,078.16","130,924.90","131,469.92","123,965.06","827.42M","-5.83%"
"Mar 06, 2020","134,949.77","137,510.22","138,970.94","134,343.31","685.27M","-1.62%"
"Mar 05, 2020","137,172.05","137,471.72","137,990.52","136,490.11","678.46M","0.95%"
"Mar 04, 2020","135,886.81","138,352.72","139,090.70","135,886.81","1.12B","-1.72%"
"Mar 03, 2020","138,271.14","137,407.56","138,271.14","136,761.44","928.32M","2.03%"
"Mar 02, 2020","135,515.09","136,483.13","137,791.19","134,058.06","948.89M","1.53%"
"Feb 28, 2020","133,466.66","123,618.93","135,634.77","123,618.93","749.47M","-3.38%"
"Feb 27, 2020","138,136.45","143,033.63","143,604.66","138,136.45","1.28B","-4.01%"
"Feb 26, 2020","143,900.27","142,268.77","144,225.13","141,724.23","1.15B","0.88%"
"Feb 25, 2020","142,644.55","143,498.52","144,115.58","141,765.27","1.41B","0.04%"
"Feb 24, 2020","142,588.98","142,223.50","142,588.98","141,051.31","1.16B","-1.01%"
"Feb 21, 2020","144,037.81","140,843.02","144,565.52","139,589.30","1.29B","1.82%"
"Feb 20, 2020","141,468.63","145,722.77","145,948.20","140,389.66","1.31B","-2.81%"
"Feb 19, 2020","145,561.44","146,602.55","147,086.97","144,675.02","1.35B","-0.17%"
"Feb 18, 2020","145,803.08","147,422.44","147,422.44","145,351.38","1.26B","-1.25%"
"Feb 17, 2020","147,653.14","147,743.98","148,183.72","147,130.58","1.16B","0.48%"
"Feb 14, 2020","146,943.94","148,117.34","148,453.94","146,533.67","1.12B","-0.55%"
"Feb 13, 2020","147,759.81","146,717.58","147,948.28","146,289.55","1.02B","0.69%"
"Feb 12, 2020","146,741.38","146,051.81","147,592.64","145,115.61","1.28B","0.40%"
"Feb 11, 2020","146,163.91","145,646.56","146,383.70","143,632.73","1.15B","1.41%"
"Feb 10, 2020","144,125.41","147,196.73","148,181.25","141,446.92","1.57B","-2.31%"
"Feb 07, 2020","147,530.95","148,631.84","149,064.44","147,238.69","1.21B","-0.57%"
"Feb 06, 2020","148,369.59","148,452.28","149,570.98","148,249.00","1.44B","0.17%"
"Feb 05, 2020","148,118.91","148,407.20","149,555.66","147,589.84","1.37B","0.16%"
"Feb 04, 2020","147,888.09","146,898.27","148,024.66","146,381.91","1.17B","1.63%"
"Feb 03, 2020","145,512.61","145,670.94","146,426.84","144,625.69","1.20B","0.11%"
"Jan 31, 2020","145,355.34","145,888.02","146,006.67","144,673.06","1.35B","-0.02%"
"Jan 30, 2020","145,390.05","145,914.83","145,914.83","143,927.02","1.18B","-0.62%"
"Jan 29, 2020","146,293.05","147,404.59","147,625.63","145,935.48","1.45B","-0.04%"
"Jan 28, 2020","146,357.47","147,762.86","148,216.41","145,923.22","1.42B","-0.35%"
"Jan 27, 2020","146,877.72","147,028.25","148,352.77","146,646.06","1.60B","-0.90%"
"Jan 24, 2020","148,206.66","149,439.67","149,839.66","147,174.81","1.48B","-0.17%"
"Jan 23, 2020","148,462.98","148,098.63","149,165.92","147,884.70","1.49B","0.03%"
"Jan 22, 2020","148,414.28","149,039.31","149,472.05","147,709.00","1.37B","-0.08%"
"Jan 21, 2020","148,532.06","146,973.50","148,683.67","146,308.75","1.09B","0.72%"
"Jan 20, 2020","147,466.05","146,255.55","147,748.23","146,255.55","1.47B","1.33%"
"Jan 17, 2020","145,527.81","145,373.41","145,716.81","144,175.09","1.13B","0.56%"
"Jan 16, 2020","144,716.48","145,769.38","146,699.45","144,232.98","1.35B","-0.19%"
"Jan 15, 2020","144,990.19","145,627.27","146,178.31","144,455.52","1.38B","-0.56%"
"Jan 14, 2020","145,807.48","145,049.16","145,865.66","143,683.56","1.62B","0.74%"
"Jan 13, 2020","144,731.06","143,232.89","145,048.19","143,232.89","1.42B","1.69%"
"Jan 10, 2020","142,332.05","142,536.13","142,946.55","141,666.19","1.16B","0.18%"
"Jan 09, 2020","142,074.67","139,400.27","142,074.67","139,400.27","1.19B","3.83%"
"Jan 08, 2020","136,828.13","135,374.06","137,728.91","135,003.27","971.75M","-0.67%"
"Jan 07, 2020","137,755.80","137,029.14","138,784.98","137,029.14","780.64M","1.25%"
"Jan 06, 2020","136,048.67","136,938.23","137,411.73","135,723.09","869.94M","-1.68%"
"Jan 03, 2020","138,370.75","140,323.19","140,797.31","136,214.94","1.42B","-1.83%"
"Jan 02, 2020","140,945.30","139,654.34","141,224.81","139,438.25","1.21B","1.29%"
"Dec 31, 2019","139,152.94","139,514.09","140,014.55","139,001.56","775.25M","0.07%"
"Dec 30, 2019","139,061.09","138,553.91","139,383.25","138,553.91","769.12M","0.74%"
"Dec 27, 2019","138,035.20","138,060.38","138,873.64","137,814.95","784.47M","0.31%"
"Dec 26, 2019","137,608.70","137,384.02","138,631.05","136,963.80","802.06M","0.36%"
"Dec 25, 2019","137,117.05","137,283.08","137,429.13","136,662.75","756.98M","0.16%"
"Dec 24, 2019","136,902.19","136,452.27","137,064.95","136,452.27","934.56M","0.78%"
"Dec 23, 2019","135,841.20","134,702.19","136,529.58","134,406.06","1.29B","1.26%"
"Dec 20, 2019","134,153.19","133,153.95","134,269.58","133,121.33","1.16B","1.16%"
"Dec 19, 2019","132,617.84","132,498.41","132,967.42","132,241.28","1.05B","0.44%"
"Dec 18, 2019","132,033.59","132,456.19","132,650.34","131,667.23","897.10M","-0.67%"
"Dec 17, 2019","132,922.69","132,897.59","133,566.42","132,531.05","1.11B","0.31%"
"Dec 16, 2019","132,516.16","132,126.20","133,052.98","131,783.17","956.48M","0.71%"
"Dec 13, 2019","131,579.16","132,720.67","133,132.63","131,057.54","1.27B","-0.07%"
"Dec 12, 2019","131,669.06","130,039.65","131,744.64","130,039.65","975.15M","1.72%"
"Dec 11, 2019","129,444.68","129,642.56","129,948.66","128,653.16","837.25M","-0.07%"
"Dec 10, 2019","129,537.86","130,918.36","131,619.52","129,078.66","874.38M","-0.95%"
"Dec 09, 2019","130,786.54","130,105.83","131,066.34","129,327.28","928.65M","0.67%"
"Dec 06, 2019","129,922.08","130,230.70","130,495.65","129,226.20","867.27M","0.11%"
"Dec 05, 2019","129,774.50","129,758.10","130,426.98","129,707.05","1.08B","0.63%"
"Dec 04, 2019","128,960.63","128,080.64","129,086.21","127,497.34","1.07B","1.11%"
"Dec 03, 2019","127,547.93","128,665.82","129,493.27","127,547.93","965.12M","-0.96%"
"Dec 02, 2019","128,785.92","127,240.50","128,912.45","127,240.50","886.79M","1.76%"
"Nov 29, 2019","126,562.53","126,195.53","126,768.09","126,051.10","819.11M","0.50%"
"Nov 28, 2019","125,929.30","124,859.17","126,135.49","124,690.20","833.94M","1.12%"
"Nov 27, 2019","124,534.51","124,587.94","125,378.83","123,951.89","930.36M","-0.12%"
"Nov 26, 2019","124,681.46","124,365.63","125,026.18","123,474.41","933.46M","0.46%"
"Nov 25, 2019","124,115.11","125,932.58","126,597.36","124,038.79","939.19M","-0.74%"
"Nov 22, 2019","125,037.62","124,865.57","125,555.37","124,306.97","832.49M","0.36%"
"Nov 21, 2019","124,583.32","124,810.15","125,242.35","123,949.55","913.10M","-0.12%"
"Nov 20, 2019","124,735.59","125,301.18","126,183.71","124,569.04","1.19B","-0.56%"
"Nov 19, 2019","125,440.80","124,932.12","125,667.28","124,191.13","1.06B","0.75%"
"Nov 18, 2019","124,508.49","123,288.40","124,917.22","123,288.40","1.12B","1.50%"
"Nov 15, 2019","122,669.56","121,479.92","122,765.44","121,452.92","898.46M","1.43%"
"Nov 14, 2019","120,941.52","121,688.37","122,301.22","120,253.45","795.27M","-0.69%"
"Nov 13, 2019","121,786.17","121,124.58","122,019.25","120,857.59","753.69M","0.67%"
"Nov 12, 2019","120,974.28","120,859.09","121,406.95","120,706.46","880.52M","0.36%"
"Nov 11, 2019","120,537.72","120,226.85","121,498.87","119,430.71","757.16M","0.19%"
"Nov 08, 2019","120,310.01","120,366.74","120,944.20","119,744.04","724.97M","-0.32%"
"Nov 07, 2019","120,701.23","118,735.22","120,777.53","118,735.22","931.84M","2.10%"
"Nov 06, 2019","118,224.30","117,711.26","118,708.32","117,314.24","583.82M","0.63%"
"Nov 05, 2019","117,486.01","117,513.71","117,942.75","116,852.15","626.82M","0.11%"
"Nov 04, 2019","117,359.36","116,035.76","117,429.17","115,981.26","670.41M","1.81%"
"Nov 01, 2019","115,271.50","115,423.18","115,741.97","114,319.91","499.88M","0.08%"
"Oct 31, 2019","115,182.12","115,367.60","115,944.41","114,887.45","582.95M","0.20%"
"Oct 30, 2019","114,949.67","114,800.24","115,908.76","114,435.16","492.46M","-0.50%"
"Oct 28, 2019","115,527.07","116,630.18","116,711.51","115,527.07","181.13M","-0.67%"
"Oct 25, 2019","116,301.37","115,936.32","116,429.74","115,616.49","531.21M","0.42%"
"Oct 24, 2019","115,809.89","115,960.41","116,595.95","115,372.86","745.44M","0.48%"
"Oct 23, 2019","115,256.06","113,792.14","115,354.77","113,649.56","707.10M","2.06%"
"Oct 22, 2019","112,925.58","112,629.21","113,550.83","112,275.67","645.69M","0.51%"
"Oct 21, 2019","112,356.59","113,483.80","113,483.80","112,323.77","560.72M","-0.69%"
"Oct 18, 2019","113,140.20","113,962.91","114,034.33","112,785.75","548.43M","2.76%"
"Oct 17, 2019","110,104.07","109,856.47","110,513.78","108,529.93","384.22M","0.34%"
"Oct 16, 2019","109,725.94","109,826.19","110,402.04","108,900.19","414.78M","-1.18%"
"Oct 15, 2019","111,040.98","110,918.14","111,573.80","110,061.71","435.23M","1.04%"
"Oct 14, 2019","109,897.78","113,628.10","113,661.14","108,491.50","614.15M","-3.74%"
"Oct 11, 2019","114,169.92","114,369.91","114,887.51","113,697.72","614.55M","0.32%"
"Oct 10, 2019","113,807.29","115,081.53","115,170.39","112,609.11","763.22M","-0.87%"
"Oct 09, 2019","114,809.99","117,629.60","118,251.26","114,809.99","548.21M","-2.18%"
"Oct 08, 2019","117,374.44","118,295.29","118,324.54","116,267.07","951.10M","-1.67%"
"Oct 07, 2019","119,362.07","119,141.58","120,908.44","118,450.16","885.45M","0.15%"
"Oct 04, 2019","119,185.76","118,501.05","119,455.07","118,161.54","507.23M","0.75%"
"Oct 03, 2019","118,299.86","118,959.20","119,955.17","117,497.94","637.64M","-0.28%"
"Oct 02, 2019","118,627.28","119,169.49","119,948.35","118,451.88","658.55M","-0.51%"
"Oct 01, 2019","119,235.32","120,136.65","120,222.90","118,562.44","832.77M","-0.45%"
"Sep 30, 2019","119,774.91","119,591.03","120,521.82","119,591.03","721.79M","0.60%"
"Sep 27, 2019","119,055.87","117,463.19","119,221.12","117,463.19","809.94M","1.53%"
"Sep 26, 2019","117,257.34","117,256.62","117,743.64","116,947.32","600.28M","0.44%"
"Sep 25, 2019","116,743.99","116,359.58","116,825.29","116,042.35","626.43M","0.30%"
"Sep 24, 2019","116,394.85","116,146.76","117,228.15","116,130.69","595.10M","1.36%"
"Sep 23, 2019","114,829.67","115,876.71","116,082.37","114,626.51","501.97M","-0.62%"
"Sep 20, 2019","115,550.50","116,275.18","116,357.62","115,414.79","650.05M","-0.38%"
"Sep 19, 2019","115,994.52","117,745.86","117,946.05","115,629.19","552.05M","-1.50%"
"Sep 18, 2019","117,766.09","117,098.35","117,941.92","116,432.85","559.54M","0.80%"
"Sep 17, 2019","116,833.88","117,683.63","117,719.75","116,125.18","678.42M","-0.72%"
"Sep 16, 2019","117,681.13","117,160.55","118,342.49","117,044.85","600.75M","0.01%"
"Sep 13, 2019","117,674.67","117,399.94","117,873.91","117,129.49","494.07M","0.39%"
"Sep 12, 2019","117,215.89","116,970.65","117,762.23","116,676.45","580.62M","0.52%"
"Sep 11, 2019","116,613.88","116,434.83","116,941.27","116,139.14","694.84M","0.40%"
"Sep 10, 2019","116,150.89","115,281.42","116,150.89","115,139.64","692.07M","0.84%"
"Sep 09, 2019","115,187.61","114,235.50","115,694.01","114,235.50","642.42M","1.50%"
"Sep 06, 2019","113,485.64","114,646.25","114,924.80","113,385.34","603.86M","-0.99%"
"Sep 05, 2019","114,616.44","115,019.92","115,676.13","114,613.19","831.41M","0.10%"
"Sep 04, 2019","114,505.92","114,151.42","114,772.78","114,062.33","630.99M","0.90%"
"Sep 03, 2019","113,479.54","112,379.32","114,020.79","112,344.82","803.31M","0.97%"
"Sep 02, 2019","112,384.72","111,411.41","112,626.44","111,411.41","479.78M","0.96%"
"Aug 29, 2019","111,321.48","110,775.32","111,997.08","110,510.30","443.42M","0.82%"
"Aug 28, 2019","110,412.42","111,420.21","111,542.67","109,943.27","456.07M","-0.47%"
"Aug 27, 2019","110,929.91","112,313.56","112,406.01","110,706.53","526.64M","-0.93%"
"Aug 26, 2019","111,968.27","110,022.96","112,177.94","110,022.96","408.86M","0.66%"
"Aug 23, 2019","111,233.20","110,575.25","111,554.34","110,140.96","449.02M","0.86%"
"Aug 22, 2019","110,289.39","110,922.12","110,922.12","109,365.60","457.48M","-0.18%"
"Aug 21, 2019","110,484.38","110,842.02","111,217.50","109,933.28","435.02M","-0.19%"
"Aug 20, 2019","110,689.94","109,094.94","110,870.56","108,948.78","420.86M","1.79%"
"Aug 19, 2019","108,740.39","109,300.64","109,895.85","108,525.72","401.54M","-0.01%"
"Aug 16, 2019","108,751.57","110,188.74","110,740.31","108,611.16","379.92M","-0.91%"
"Aug 15, 2019","109,748.09","111,894.60","111,984.49","109,727.70","411.53M","-2.70%"
"Aug 09, 2019","112,792.06","112,865.37","113,321.06","112,284.91","455.85M","0.05%"
"Aug 08, 2019","112,740.87","112,797.38","113,098.61","111,294.28","449.54M","1.15%"
"Aug 07, 2019","111,460.54","114,035.71","114,104.58","110,910.21","497.28M","-1.95%"
"Aug 06, 2019","113,676.45","113,301.01","113,977.66","112,806.12","355.44M","0.59%"
"Aug 05, 2019","113,013.75","113,739.21","114,377.03","113,013.75","370.20M","-0.83%"
"Aug 02, 2019","113,961.31","116,431.70","116,558.98","113,961.31","413.72M","-2.40%"
"Aug 01, 2019","116,767.01","115,515.67","116,801.07","115,390.34","414.51M","0.51%"
"Jul 31, 2019","116,172.93","117,147.85","117,147.85","115,848.24","468.57M","-0.59%"
"Jul 30, 2019","116,859.45","117,405.41","117,541.22","116,254.86","518.08M","-0.48%"
"Jul 29, 2019","117,424.55","117,295.78","117,424.55","116,741.57","630.01M","0.46%"
"Jul 26, 2019","116,892.19","116,331.77","117,202.48","115,690.00","422.70M","0.40%"
"Jul 25, 2019","116,423.19","117,385.30","117,725.80","115,679.91","489.02M","-0.64%"
"Jul 24, 2019","117,171.63","115,946.92","117,171.63","115,768.34","490.64M","1.17%"
"Jul 23, 2019","115,811.67","115,030.44","116,004.09","114,834.95","472.04M","0.85%"
"Jul 22, 2019","114,840.10","115,584.28","115,955.31","114,443.96","368.00M","-0.63%"
"Jul 19, 2019","115,571.49","114,760.70","116,064.59","114,760.70","598.72M","1.14%"
"Jul 18, 2019","114,273.37","112,520.30","114,422.41","112,176.43","563.04M","1.48%"
"Jul 17, 2019","112,609.38","111,404.56","112,821.71","111,244.29","468.25M","1.45%"
"Jul 16, 2019","111,002.52","110,119.04","111,363.07","110,119.04","343.83M","1.24%"
"Jul 12, 2019","109,645.85","111,344.64","111,786.77","109,444.13","510.16M","-1.48%"
"Jul 11, 2019","111,287.74","109,984.39","111,358.35","109,974.41","398.58M","1.94%"
"Jul 10, 2019","109,169.95","108,225.13","109,496.03","107,541.13","528.12M","0.88%"
"Jul 09, 2019","108,218.88","110,097.88","110,747.42","107,978.01","578.95M","-1.66%"
"Jul 08, 2019","110,048.08","109,103.86","110,517.95","108,907.42","465.09M","-0.27%"
"Jul 05, 2019","110,342.07","111,719.02","112,082.83","110,320.97","522.70M","-1.16%"
"Jul 04, 2019","111,642.43","112,534.60","112,708.70","111,021.73","531.30M","-0.54%"
"Jul 03, 2019","112,247.80","113,206.14","113,427.53","112,143.43","692.93M","-0.75%"
"Jul 02, 2019","113,100.50","113,378.74","113,445.82","112,598.28","644.60M","0.00%"
"Jul 01, 2019","113,096.58","113,090.80","113,567.46","112,408.40","602.00M","1.22%"
"Jun 28, 2019","111,728.15","111,821.45","112,004.83","110,984.78","405.00M","0.11%"
"Jun 27, 2019","111,605.74","110,824.67","111,805.71","110,824.67","482.34M","1.13%"
"Jun 26, 2019","110,361.79","110,926.61","111,242.88","110,029.96","470.44M","-0.47%"
"Jun 25, 2019","110,888.38","110,341.72","111,299.87","109,883.78","447.65M","0.70%"
"Jun 24, 2019","110,121.61","110,835.91","111,207.23","110,004.69","467.03M","0.60%"
"Jun 21, 2019","109,465.71","110,012.93","110,215.16","109,095.83","494.62M","-0.37%"
"Jun 20, 2019","109,872.04","110,956.77","111,297.70","109,807.04","692.97M","-0.25%"
"Jun 19, 2019","110,147.52","110,670.81","111,273.72","109,786.21","565.14M","-0.49%"
"Jun 18, 2019","110,689.40","108,955.76","110,777.62","108,728.31","546.20M","1.70%"
"Jun 17, 2019","108,835.84","107,503.44","109,052.81","107,287.34","473.67M","0.93%"
"Jun 14, 2019","107,837.45","108,299.64","108,763.88","107,081.64","469.79M","-0.14%"
"Jun 13, 2019","107,985.92","109,681.42","109,693.91","107,985.92","453.20M","-1.84%"
"Jun 12, 2019","110,015.32","110,263.33","110,715.24","109,697.98","475.86M","-0.26%"
"Jun 11, 2019","110,306.93","111,285.12","111,788.05","109,906.61","598.51M","-0.67%"
"Jun 10, 2019","111,052.39","110,102.43","111,471.58","109,725.63","588.89M","0.92%"
"Jun 07, 2019","110,034.58","107,836.93","110,062.08","107,258.87","340.20M","2.11%"
"Jun 03, 2019","107,764.69","108,302.22","108,519.75","107,320.64","105.58M","-0.53%"
"May 31, 2019","108,337.56","107,099.52","108,337.56","106,317.13","304.11M","0.88%"
"May 30, 2019","107,397.50","105,439.13","107,397.50","105,439.13","435.42M","2.62%"
"May 29, 2019","104,656.60","104,425.65","105,363.70","104,313.79","375.02M","0.47%"
"May 28, 2019","104,162.12","103,409.26","104,976.66","103,400.95","512.99M","1.22%"
"May 27, 2019","102,906.97","104,081.77","104,344.36","102,831.49","345.25M","-0.86%"
"May 24, 2019","103,798.06","102,709.30","104,154.56","102,709.30","444.02M","1.47%"
"May 23, 2019","102,296.26","101,417.22","102,499.64","101,346.08","346.44M","0.72%"
"May 22, 2019","101,566.92","103,267.45","103,704.67","101,566.92","381.91M","-1.75%"
"May 21, 2019","103,373.07","105,152.87","105,486.75","103,052.90","331.83M","-1.60%"
"May 20, 2019","105,049.07","104,965.43","105,278.14","104,618.59","329.82M","0.24%"
"May 17, 2019","104,793.03","105,756.14","106,269.71","104,682.29","507.34M","-0.59%"
"May 16, 2019","105,418.40","105,887.90","106,750.78","105,418.40","416.37M","-0.36%"
"May 15, 2019","105,794.32","105,752.44","105,890.07","104,538.56","412.34M","0.10%"
"May 14, 2019","105,691.49","104,398.45","105,832.83","103,776.11","423.98M","1.54%"
"May 13, 2019","104,086.23","106,111.14","106,385.38","103,140.50","710.78M","-1.69%"
"May 10, 2019","105,880.57","106,194.66","106,740.22","105,327.77","528.34M","0.40%"
"May 09, 2019","105,457.81","107,281.66","107,514.19","105,414.36","284.41M","-1.78%"
"May 08, 2019","107,371.32","107,521.94","108,603.64","106,773.80","318.97M","-3.00%"
"May 07, 2019","110,687.81","109,484.52","110,881.45","109,025.96","370.75M","-0.66%"
"May 06, 2019","111,422.85","112,082.66","112,094.04","110,165.42","224.18M","-1.13%"
"May 03, 2019","112,699.38","113,406.07","113,571.57","112,469.56","222.23M","-0.71%"
"May 02, 2019","113,509.62","113,717.23","114,698.43","112,935.25","334.23M","-0.11%"
"Apr 30, 2019","113,637.96","113,540.02","114,220.71","113,329.40","330.38M","0.33%"
"Apr 29, 2019","113,265.46","112,901.09","113,413.24","112,523.51","341.67M","0.58%"
"Apr 26, 2019","112,612.68","113,533.19","113,533.19","112,155.52","309.05M","-0.27%"
"Apr 25, 2019","112,917.59","114,123.83","114,233.22","112,272.89","476.08M","-0.86%"
"Apr 24, 2019","113,901.93","114,451.62","114,618.52","113,839.38","359.76M","-0.65%"
"Apr 22, 2019","114,646.33","115,607.41","115,607.41","114,646.33","329.48M","-1.06%"
"Apr 19, 2019","115,878.74","115,607.80","115,979.13","115,402.06","316.21M","0.22%"
"Apr 18, 2019","115,619.63","116,319.76","116,500.64","115,126.36","490.87M","-0.64%"
"Apr 17, 2019","116,360.48","116,140.39","117,068.41","116,102.40","488.70M","0.64%"
"Apr 16, 2019","115,622.92","114,950.49","116,250.24","114,939.94","445.61M","1.19%"
"Apr 15, 2019","114,268.18","115,558.38","115,722.65","114,268.18","341.85M","-1.28%"
"Apr 12, 2019","115,745.69","114,566.12","115,745.69","113,686.93","385.34M","0.77%"
"Apr 11, 2019","114,857.55","116,809.83","116,878.96","114,857.55","452.36M","-1.50%"
"Apr 10, 2019","116,611.98","118,061.18","118,151.89","116,394.49","540.75M","-0.95%"
"Apr 09, 2019","117,734.18","116,848.07","118,220.92","116,848.07","654.22M","1.28%"
"Apr 08, 2019","116,244.97","117,558.80","117,767.41","115,683.37","484.77M","-1.02%"
"Apr 05, 2019","117,440.53","117,743.57","118,348.75","116,583.14","529.52M","0.19%"
"Apr 04, 2019","117,220.40","114,296.58","117,220.40","114,083.90","510.28M","2.55%"
"Apr 03, 2019","114,300.35","114,477.35","115,271.49","113,947.90","447.47M","0.52%"
"Apr 02, 2019","113,709.82","113,710.17","115,600.27","112,630.83","473.01M","-0.18%"
"Apr 01, 2019","113,911.68","112,165.29","114,604.24","111,027.48","657.64M","1.69%"